var,context,short def,long def,number of vars in sentence,context length,distance
S,and the elements of stabilization matrix S is given by,matrix,stabilization matrix,1,10,1
m,the requirements above then by duality there are integers m and M' such that for,integer,integer,2,15,1
ωX,Finally ωX denotes the dualizing sheaf on X,sheaf,dualizing sheaf,1,8,4
E,There he proved that every locally free sheaf E on ℙn is the cohomology of a monad,sheaf,free sheaf,1,17,1
n,of the area of a bubble is proportional to n where n is its number of edges,number,number of edges,1,17,5
mv,a parallax π an apparent magnitude mv and a colour index B,magnitude,apparent magnitude,2,12,1
Mv,the bolometric correction from we derive an absolute magnitude Mv and a luminosity of,magnitude,absolute magnitude,1,14,1
M,was calculated for the mass of the compact object M,mass,mass of the compact object,1,10,5
κ,of Rin were corrected by Rin where κ is a spectral hardening factor,factor,spectral hardening factor,1,13,5
Q,Q being the electric charge,charge,electric charge,1,5,4
ms,with current masses mu md and ms,mass,current mass,3,7,4
mu,UrQMD model are decomposed into quarks with current masses mu md and ms,mass,current mass,3,13,1
t,this happens at a center of mass time of t,time,mass time,1,10,2
D,We say that a disk D embedded in S K is a for F,disk,disk,1,14,1
K,Hereafter let K be a knot or link in the 3sphere,knot,knot,1,11,3
p,Let p be a saddle point of F or P,point,saddle point,1,10,4
q,there is a single electromagnetic coupling constant determined by q the charge of the electron,charge,charge of the electron,2,15,2
Ω,such as the Hubble parameter H and density parameter Ω are specified,parameter,density parameter,2,12,5
u,The fourth parameter is a phase factor u,factor,phase factor,1,8,1
r,contains a gravitational ‘sink’ inside the Schwarzschild radius at r,radius,Schwarzschild radius,1,10,2
g,there are two coupling constants: g the weak isospin coupling constant associated with,constant,coupling constant,1,13,5
Teff,peculiarities (except the helium enrichment) and the effective temperature Teff,temperature,effective temperature,1,10,1
p,density scalar field ρ and a pressure scalar field p,pressure,pressure scalar field,2,10,3
σ,where σ is the StefanBoltzmann constant related to the radiation,constant,StefanBoltzmann constant,1,10,4
f,of space the gradient of an arbitrary scalar field f can be expressed as,field,arbitrary scalar field,1,14,1
Φ,with respect to a gravitational potential scalar field Φ,field,gravitational potential scalar field,1,9,1
Nm,In general statistical terms the number density Nm of typem objects in such a population is,number,number density,1,16,2
F,the gravitational force per unit volume is specified by F,force,gravitational force,1,10,7
m,therefore conventional to recast the differential equations with mass m rather than,mass,mass,1,12,1
r,star the fluid occupies a solid ball of radius r the mass density and pressure are time independent,radius,radius,1,18,1
ρ,is considered to possess a mass density scalar field ρ and a pressure scalar field p,density,mass density scalar field,2,16,3
W,spherically symmetric spacetimes where W is the work density defined by W,density,work density,1,12,4
S,radial pressure provided by the source of Einstein equations S is the entropy,entropy,entropy,1,13,3
M,involves two constants of integration M and J which represent the mass and angular,mass,mass,1,14,6
A,Pr is the radial pressure of the source and A is the area enclosed by the horizon,area,area enclosed by the horizon,2,17,3
dr,For this purpose consider a virtual displacement dr of the horizon and then multiply by,displacement,virtual displacement,1,15,1
P,energy V is the volume inside the apparent horizon P is the pressure of the perfect fluid in,pressure,pressure of the perfect fluid,2,18,3
J,dJ where Ω is the angular velocity and J is the angular momentum of BTZ black hole,momentum,angular momentum of BTZ black hole,2,17,4
CJ,the BTZ black hole is that its heat capacity CJ is positive definite,capacity,heat capacity,1,13,1
Λ,the (2+1)dimensional Einstein theory with a negative cosmological constant Λ,constant,negative cosmological constant,1,10,1
α,Here α is scale parameter and u,parameter,scale parameter,1,7,3
ξ,where ξ is the travelling coordinate and,coordinate,travelling coordinate,1,7,4
ρ,ξ is the travelling coordinate and ρ and χ are real functions of ξ,function,real function,3,14,5
λs,time have the units of the electron skin depth λs and,depth,electron skin depth,1,11,1
L,The 1D simulation box length is L which is resolved by cells,length,1D simulation box length,1,12,2
x,plasma slabs collide in the simulations at the position x each consisting of the electrons and ions,postion,postion,1,17,1
vb,slab 1 is initially moving with the positive speed vb along the x direction,speed,positive speed,1,14,1
vc,slabs collide along the x direction at the speed vc,speed,speed,1,10,1
R,The iontoelectron mass ratio is R,ratio,iontoelectron mass ratio,1,6,2
T,All plasma species have the observed jet temperature T,temperature,observed jet temperature,1,9,1
mj,the species j has the charge qj and mass mj with,mass,mass,3,11,1
qj,index i of the species j has the charge qj and mass mj with,charge,charge,4,14,1
B,exceeds the initial background magnetic field B with,field,initial background magnetic field,1,8,1
t,The 1D simulation time is t,time,The 1D simulation time,1,6,2
ϵf,substrate and a top with dielectric constants d and ϵf respectively,constant,dielectric constant,2,11,3
ωaneff,Figure shows dimensionless eigenfrequencies ωaneff with corresponding wavenumbers,eigenfrequencies,dimensionless eigenfrequencies,1,8,1
Nhex,Within the model of hexagonalsymmetry modes Nhex Nhex and Nhex correspond respectively,mode,hexagonalsymmetry mode,3,12,4
ωa,for the TE mode between the normalized frequencies of ωa and ωa' which corresponds,frequency,normalized frequency,2,14,2
ϵt,The dispersion equation for the angular frequency ϵt of TE mode with a given inplane wave,frequency,angular frequency,1,16,1
N,where N is integer quantum wavenumber that takes into account,integer,integer quantum wavenumber,1,10,2
d,where d is the interaction diameter,diameter,interaction diameter,1,6,4
s,free time of a quasiparticle and the entropy density s which in turn is proportional to the density,density,entropy density,4,18,1
λ,The mean free path λ is given by,path,mean free path,1,8,1
n,is the baryon number density n is the normal nuclear matter,matter,normal nuclear matter,1,11,5
Mi,At a high nB the quark mass Mi falls from a large value MQ to,mass,quark mass,1,15,1
ωC,The cavity is tuned to frequency ωC where ω ′,frequency,frequency,1,10,1
Tin,that our cavity mirrors MinMout have equal transmission coefficients Tin Tout,coefficient,transmission coefficient,2,11,1
pi,whereas for incoherent absorption (Ω) the probability is pi,probability,probability,2,9,2
pac,be used to partition pa into a coherent component pac and an incoherent component pai,component,coherent component,2,15,1
va,the original coherent state resulting in a fringe visibility va for the adiabatic absorption and emission,visibility,fringe visibility,1,16,1
ζ,Here ζ provides an estimate of the efficiency that could,efficiency,efficiency,1,10,6
n¯,a coherent state of light with mean photon number n¯ to and from the hyperfine states of,number,mean photon number,1,17,1
t,we vary the arrival time t of the λ pulse and study the effect,time,arrival time,1,14,1
r,of the adiabatic to the incoherent absorption probability is r,probability,incoherent absorption probability,1,10,2
g,to the atom on the b↔e transition with rate g and a classical field Ω(t) drives the atom,rate,rate,2,18,1
pa,adiabatic absorption (Ω) we find that the probability pa for the atom to be transferred from F,probability,probability,2,17,1
ωA,the atom transverse to the cavity axis at frequency ωA to provide a,frequency,frequency,1,13,1
Tdep,The depinning temperature Tdep is given by,temperature,depinning temperature,1,7,1
Hdep,Hdep is the depinning field and μ is a,field,depinning field,1,9,4
Δ,To estimate the wall width Δ we integrated these two fields into a total,width,wall width,1,14,1
m,can be fitted well using v with m the wall mobility consistent with predictions from moving,mobility,wall mobility,1,16,3
ti,zi means the initial value of z at time ti,time,time,2,10,1
A,to kα and to that is proportional to attractiveness A in addition to linear PA such as A,attractiveness,attractiveness,1,18,1
k,distribution function P(k) of numbers of links with degree k is given by P(k),degree,degree,2,14,1
nk,and the appearance of the distribution function nk in the second expression is due to the,function,distribution function,1,16,1
Πi,for growing networks with preferential attachment of fractional power Πi using Simon’s method,power,fractional power,1,13,1
p,is fixed and the links are distributed with probability p such that each link has the mean connectivity,probability,probability,1,18,1
⟨k⟩,p such that each link has the mean connectivity ⟨k⟩,connectivity,mean connectivity,1,10,1
N,In the former the size of the network N is fixed and the links are distributed with,size,size of the network,1,17,4
ϵ,Incorporating a probability ϵ that an excited agent,probability,probability,1,8,1
α,With probability α the excited agent turns refractory by transferring units,probability,probability,1,11,1
ω,around its singularity ω one obtains a power series similar to,singularity,singularity,1,11,1
ϵq,do not generate a subsequently excited node with probability ϵq due to nonconservation,probability,probability,1,13,1
zth,If threshold zth then an excited agent’s stimulus level,threshold,threshold,1,9,1
πk,wherein from table  the branching probability πk that an excited agent subsequently stimulates k other,probability,branching probability,1,15,1
q,Given the transition rules the density q assumed to be a continuous dynamical variable satisfies,density,density,1,15,1
σ,where σ is the branching parameter derived from the following,parameter,branching parameter,1,10,4
βq,nodes in turn generates one excited node with probability βq while the other generates two excited nodes with,probability,probability,1,18,1
β,With probability β the excited agent turns quiescent by dissipating only,probability,probability,1,11,1
s,In the example shown the avalanche size s,size,avalanche size,1,8,1
η,λ whereas a refractory agent turns quiescent with probability η,probability,probability,1,10,1
G,that a network is given by a directed multigraph G as in where each link has,multigraph,directed multigraph,1,16,1
w,If we let w be the total number of blocks,number,total number,1,10,4
k,For a block of length k using an alphabet of cardinality,length,length,1,11,1
∏i,block the search space size is ∏i,size,search space size,1,7,2
Δt,generation of double pulses with a welldefined temporal separation Δt,separation,welldefined temporal separation,1,10,1
ω,where a^(ω) is an operator annihilating photon of frequency ω in the fiber while ρ(ω) is a density,frequency,frequency,2,18,1
t,it is split into two pulselets centered around delays t and tl determined by the length of the,delay,delay,2,18,1
ϵ,as the impact parameter and thus the spatial eccentricity ϵ of the initial,eccentricity,spatial eccentricity,1,13,1
Y,The dilepton momentum is parametrized by its rapidity Y its transverse momentum pT,rapidity,rapidity,2,13,1
uμ,and the flow velocity of the fireball fluid uμ as,velocity,flow velocity of the fireball fluid,1,10,5
b,from semiperipheral Au+Au collisions at impact parameter b,parameter,impact parameter,1,8,1
ϵq,at critical temperature Tc with energy densities ϵq,densities,energy densities,2,8,1
M,dileptons on their transverse momentum pT and invariant mass M provide a very rich landscape,mass,invariant mass,2,15,1
T,fmcorresponding to a peak initial temperature of T,temperature,temperature,1,8,2
Tc,gas (HG) by a Maxwell construction at critical temperature Tc,temperature,critical temperature,1,10,1
Δn,where Δn is the average collisions number with,number,average collisions number,1,8,5
I,of the moving wall randomly chosen in an interval I,interval,interval,1,10,1
n,t and as function of iteration (or collision) number n,number,collision number,1,10,1
Keff,Here Keff is an effective control parameter given by Keff,parameter,effective control parameter,1,10,5
<E>,it is shown the rescaled energy <E> as function of the rescaled interactions,energy,rescaled energy,1,13,1
l,Here a b and c are scaling exponents and l is the scaling factor,factor,scaling factor,4,14,4
x,rigid walls one of which is fixed at position x and other that is moving periodically in,position,position,1,17,1
ε′,Here x is the equilibrium position ε′ is the oscillation amplitude ω is a frequency,amplitude,oscillation amplitude,3,15,4
Xw,with dimensionless variables we perform scale changes in length Xw and in time t′,length,length,2,14,1
ε,is numerically investigated when the amplitude of oscillation ε of the moving wall is small,amplitude,amplitude of oscillation,1,15,3
V,If the initial velocity V is small enough then we can use I,velocity,velocity,1,13,1
β,The value of exponent β can be determined by searching for the best,exponent,exponent,1,13,1
V¯,values of time we can define the average velocity V¯ and Δt as the average time,velocity,average velocity,2,16,1
L¯,We can also define L¯ as the average distance that the particle travels,distance,average distance,1,13,4
E,interested in the scaling properties of the dimensionless energy E averaged over an ensemble,energy,dimensionless energy,1,14,1
t,to describe the average energy as function of time t and as function of iteration (or collision) number,time,time,1,18,1
Epl,standard dispersion relation in units of the Planck’s energy Epl,energy,Planck’s energy,1,10,1
B∥,meter ne is the electron number density per cm B∥ is the magnetic field strength (Gauss) parallel the,strength,magnetic field strength,2,18,5
Φ,at a redshift z with an intrinsic polarization angle Φ is,angle,intrinsic polarization angle,2,11,1
z,frequency νobs of a photon emitted at a redshift z with an intrinsic polarization angle Φ is,redshift,redshift,2,17,1
νobs,The observed polarization angle at frequency νobs of a photon emitted at a redshift z,frequency,frequency,2,15,1
Ri,J with radius R if they have a distance Ri from the,distance,distance,2,12,1
Δϕ,worse for equal ET cuts and maximal azimuthal distance Δϕ the NLO prediction,distance,azimuthal distance,1,13,1
Ei,Data were collected with incident energies of Ei,energies,incident energies,1,8,2
σq,were averaged over a gaussion window with gaussian halfwidth σq,halfwidth,gaussian halfwidth,1,10,1
ξ,space then we would obtain a correlation length of ξ or approximately,length,correlation length,1,12,2
S,of the entanglement of three operators U US and S,operator,operator,3,10,4
U~,this realigned matrix one can express normalized unitary operator U~,operator,normalized unitary operator,1,10,1
|Ψ⟩,lower (upper) bound is reached if and only if |Ψ⟩ is a product state (maximally entangled state).,state,state,1,17,4
ρ,where ρ is the reduced density matrix,matrix,reduced density matrix,1,7,5
Δn,Let us consider the density variance Δn,variance,density variance,1,7,1
⟨G⟩V,An asymptotic expansion of the function ⟨G⟩V is given by the classical WatsonLaplace theorem,function,function,1,14,1
⟨N⟩,provide the given value of the average particle number ⟨N⟩,number,average particle number,1,10,1
T,that there can not exist a selfadjoint time operator T that commutes canonically with a boundedfrombelow Hamiltonian H,operator,selfadjoint time operator,2,18,1
H,operator T that commutes canonically with a boundedfrombelow Hamiltonian H,Hamiltonian,boundedfrombelow Hamiltonian,1,10,1
τ,a range of exponentially declining starformation histories (efolding time τ) ages,time,efolding time,1,11,1
LIR,we convert their infrared luminosity LIR estimated using the IRAS 60 and μm bands,luminosity,infrared luminosity,1,14,1
Mc,anomaly is positioned at the charged pions production threshold Mc and has been explained by,threshold,charged pions production threshold,1,15,1
ax,The inelastic ax and elastic a pionpion scattering amplitudes,amplitude,inelastic pionpion scattering amplitude,2,9,6
δM,the middle of every Mππ bin with a width δM,width,width,1,10,1
Mππ,above and below the two charged pion production threshold Mππ including the average effect for the,threshold,pion production threshold,1,16,1
sNN,nucleonnucleon collision energy sNN is taken in GeV units,energy,nucleonnucleon collision energy,1,9,1
⟨ΔNjΔNk⟩,from resonance decays gives a positive contribution to the ⟨ΔNjΔNk⟩ correlator,correlator,correlator,1,11,1
⟨E⟩,Note that the conditions for energy per particle ⟨E⟩ zero value of the,energy,energy,1,13,3
T,For chemical freezeout at low collision energies (small temperature T and large baryonic chemical potential μB),temperature,temperature,2,16,1
vj,where vj is the proper volume of the jth particle,volume,proper volume,1,10,4
γS,The strangeness saturation factor γS is parameterized as,factor,strangeness saturation factor,1,8,1
r,are presented for two values of hardcore hadron radius r and 0.5 fm as well as for,radius,hardcore hadron radius,1,16,1
Nj,where Nj is primordial jth hadron multiplicity,multiplicity,primordial jth hadron multiplicity,1,7,5
s,The system pressure is defined by the polesingularity s of the function Z^,polesingularity,polesingularity,2,13,1
S,zero value of the net total strangeness S and the charge to baryon ratio Q,strangeness,net total strangeness,2,15,1
ϕj,Thus ϕj is the jth hadron number density njid is the,density,jth hadron number density,1,11,6
KD,anisotropy Ku and the stray field energy (with parameter KD,parameter,parameter,1,10,1
JS,and the stray field energy (with parameter KD where JS is the spontaneous magnetization),magnetization,spontaneous magnetization,2,14,4
w,dual problem is then to minimise an objective function w subject to,function,objective function,1,12,1
vα,where the ci are metabolite concentrations the vα are reaction velocities or fluxes,velocities,reaction velocities,2,13,3
vgr,the growth reaction (the growth rate) will be labelled vgr,rate,growth rate,1,10,7
TS˙,the internal entropy production due to the chemical transformations TS˙,production,internal entropy production,1,10,6
Bα,and write Bα as the analogue of reaction affinity,affinity,reaction affinity,1,9,6
z,in standard form is to maximise an objective function z,function,objective function,1,10,1
μi,where the μi are chemical potentials,potentials,chemical potentials,1,6,3
Aα,energy change in a chemical reaction or reaction affinity Aα where the μi are chemical potentials,affinity,reaction affinity,1,16,1
α,The index α denotes the two spins on each,index,index,1,9,1
z,that propagate primarily on the singlet sublattice (where z is the coordination number),number,coordination number,1,13,4
ρs,The superfluid density corresponds to the spin stiffness ρs defined as,stiffness,spin stiffness,1,11,1
B,As the external field B is varied the ground state of,field,external field,1,11,1
Δ,D is the amplitude of the single ionanisotropy and Δ determines the magnitude of the exchange uniaxial anisotropy,magnitude,magnitude of the exchange uniaxial anisotropy,2,18,3
S,However the spin S Hamiltonians that are obtained from these,spin,spin,1,10,1
mz,are plotted as a function of the resulting magnetization mz,magnetization,magnetization,1,10,1
t1,The amplitudes t1 t2 and t3 correspond to singleparticle hopping terms,amplitude,amplitude,3,11,1
⟨n⟩,provides an estimate of the average number of phonons ⟨n⟩ dressing the polaron,number,average number of phonons,1,13,3
Sf,we estimate the surface intensity fraction to be Sf roughly consistent with experiment,fraction,surface intensity fraction,1,13,3
d,we refer to the region of large tiptotip distances d where the conductance exhibits an exponential decay G(d),distances,tiptotip distances,2,18,1
EF,of the molecular junction evaluated at the Fermi energy EF,energy,Fermi energy,1,10,1
G,tends to be close to the quantum of conductance G,conductance,conductance,1,10,1
β,with an inverse decay length β,length,inverse decay length,1,6,1
afπ,We obtained the pseudoscalar decay constant afπ using ZA⟨P|A|⟩,constant,pseudoscalar decay constant,1,9,1
ZA,and the axial current renormalization constant ZA is equal to,constant,axial current renormalization constant,1,10,1
k,BP c and c1 are msdependent low energy constants k is the constant,constant,constant,3,13,3
k,for electrons having wave vector with small parallel component k through the graphene layer which has,component,small parallel component,1,16,1
Q∼,on a momentum expansion in Q where Q∼ is the typical energy in our process,energy,typical energy,1,15,4
zp,baryon density nb and proton fraction Yp the fugacities zp and zn are then determined implicitly,fugacity,fugacity,4,16,1
ω,where ki and kf are the initial and final neutrino energy ω is the energy transfer,energy,energy transfer,3,16,1
Tν,distribution for the neutrinos with zero chemical potential temperature Tν and neutrino momentum k,temperature,zero chemical potential temperature,2,14,1
T,where T is the temperature zi,temperature,temperature,1,6,3
λi,fugacity (with chemical potential μi and binding energy Ei) λi is the thermal wavelength,wavelength,thermal wavelength,3,14,4
Yp,For a given baryon density nb and proton fraction Yp the fugacities zp and zn are then determined,fraction,proton fraction,4,18,1
ρ∼,for the conditions near the neutrinosphere for low densities ρ∼ and high temperatures T,densities,densities,2,13,1
L,phenomenological restrictions such as conserving the global lepton number L,number,global lepton number,1,10,1
rΔ,The mass splitting ratio defined as rΔ yields in our scenario,ratio,mass splitting ratio,1,11,3
U,The complex mixing matrix U that diagonalizes the mass matrix M,matrix,complex mixing matrix,2,11,1
M,complex mixing matrix U that diagonalizes the mass matrix M in the manner,matrix,mass matrix,2,13,7
Δm1,squared differences for solar and atmospheric neutrinos defined as: Δm1 and Δm2,difference,squared difference for solar neutrinos,2,12,8
M',In the following m is the electron mass M' is the (anti)proton mass μp is the magnetic,mass,(anti)proton mass,2,17,1
m,In the following m is the electron mass M' is the (anti)proton,mass,electron mass,1,12,4
ρl,a critical Reynolds number (constant) ρa the air density ρl the liquid density g the gravity acceleration R,density,air density,3,18,1
α,allows us to define this restitution coefficient α of the droplet such as,coefficient,restitution coefficient,1,13,1
Γmin,The minimum acceleration Γmin needed to stabilize droplets is lower than,acceleration,minimum acceleration,1,11,1
σ,the viscosity of the liquid ρ its density and σ the surface tension between the droplet and,density,density,2,17,2
Ri,surrounded by air the daughter droplet has a radius Ri that is about half of the mother,radius,radius,1,17,1
ω,The sinusoidal vibration has a pulsation ω and an amplitude A,pulsation,pulsation,2,11,1
Γ,When the reduced acceleration Γ is sufficiently large the,acceleration,reduced acceleration,1,9,1
λ,According to for a sitting droplet this wavelength λ satisfies to,wavelength,wavelength,1,11,1
Ohc,the transition from partial to total coalescence is approximately Ohc,coalescence,coalescence,1,10,3
Γm,The minimum acceleration Γm for bouncing to occur has been estimated by,acceleration,minimum acceleration,1,12,1
VE,EPSC is modeled by IE with VE being the reversal potential of the EPSC (usually,potential,reversal potential of the EPSC,1,15,4
x,The channel currents are governed by some activation/inactivation variables x satisfying the differential equation dx,variables,activation/inactivation variables,1,15,1
τE,with τE determining the time to reach the stimulus peak,time,time to reach the stimulus peak,1,10,3
T,from the experiments in vitro operated at room temperature T,temperature,room temperature,1,10,1
Vth,of the stimulated neuron can exceed a voltage threshold Vth (chosen as Vth here).,threshold,voltage threshold,1,14,1
Gsyn,at different time ti where Gsyn determines the peak of synaptic conductance and α(t),conductance,peak of synaptic conductance,1,14,6
ρ∼,which stabilizes the system at a phase space density ρ∼,density,phase space density,1,10,1
Eγ,oriented to provide polarised photons in the energy range Eγ with the maximum polarisation,energy,energy range,1,14,2
Φ,of linear polarisation of the incident photon beam and Φ the azimuthal orientation of the reaction plane with,orientation,azimuthal orientation of the reaction plane,1,18,3
Pγ,with the maximum polarisation of Pγ obtained at,polarisation,maximum polarisation,1,8,2
I,Due to its isospin I it only connects N states,isospin,isospin,2,10,1
v,where v is the volume per molecule,volume,volume per molecule,1,7,3
τ,found that the line tension τ and its curvature correction τ',tension,line tension,2,11,1
Δμ,where Δμ is the difference in chemical potential between the,difference,difference in chemical potential,1,10,3
V,potential  in the NVT ensemble with a cell volume V and periodic boundary conditions to be,volume,cell volume,1,16,1
T,above and below the freezing temperature for the cluster T and selecting the point at which,temperature,freezing temperature,1,16,4
Δϵ,The singleparticle contribution Δϵ describes the effects of quantized energy levels due,contribution,singleparticle contribution,1,12,1
e,The charging energy e is due to manybody effects which,energy,charging energy,1,10,1
S,semiconductors and metals such as conductivity σ thermoelectric power S,power,thermoelectric power,2,10,1
zT,We will show here that the thermoelectric efficiency zT of these structures at low enough,efficiency,thermoelectric efficiency,1,15,1
k,where k is the wave vector value βn,vector,wave vector value,1,8,4
βn,where k is the wave vector value βn is the wave vector component along the waveguide,component,wave vector component,2,16,5
J,where J is the electric current through the link nF,current,electric current through the link,1,10,4
Mlum,main parameters of this model are the baryonic mass Mlum the SF efficiency and,mass,baryonic mass,2,14,1
z,estimate the ICM abundance by evaluating at each redshift z the comoving density of the Fe ejected by,redshift,redshift,1,18,1
ρcl,where we have used the total cluster mass density ρcl,density,total cluster mass density,1,10,1
Reff,efficiency νE and an effective radius Reff (see Table 1 of Pipino,radius,effective radius,2,12,1
R,than at z∼ in the central regions at radii R,radii,radii,1,10,1
fS,The quantities fE and fS are the fractions of ellipticals and S0 galaxies,fraction,fraction,1,13,3
MBm,represents the fraction of binary systems with total mass MBm which produce,mass,total mass,1,12,1
zf,we assume that the star formation started at redshift zf corresponding to a lookback time of Gyr,redshift,redshift,1,17,1
fE,The quantities fE and fS are the fractions of ellipticals,fraction,fraction,1,10,5
μ,The quantity μ is the ratio between,ratio,ratio,1,7,3
ρICM,the local Universe the total ICM mass density is ρICM,density,total ICM mass density,1,10,2
Htotal,We assume an Nbody Hamiltonian Htotal with an interaction of,Hamiltonian,Nbody Hamiltonian,1,10,1
H,and ψf are eigenstates of the unperturbed Nbody Hamiltonian H,Hamiltonian,unperturbed Nbody Hamiltonian,2,10,1
ρ,The righthandside of Eq. contains the density operator ρ of the system before collision,operator,density operator,1,14,1
v',B & V are standard magnitudes and b' & v' are instrumental magnitudes of timeseries images for normalization,magnitude,instrumental magnitude,4,18,4
ϵ,The parameter ϵ is varied in the range,parameter,parameter,1,8,1
Vθeq,Another possibility is measuring Vθeq the mean azimuthal velocity at an equatorial point,velocity,mean azimuthal velocity,1,13,4
Γ,one is the aspect ratio of the experimental volume Γ set to in this,ratio,aspect ratio of the experimental volume,1,14,5
f,total power allowing a rotation frequency in the range f,frequency,rotation frequency,1,10,4
Δ,The last one is the frequency disymmetry defined as Δ where,disymmetry,frequency disymmetry,1,11,3
G,pS share the same properties: one of the gaussians G has zero mean while the other GNS is,gaussian,gaussian,1,18,1
Vprop,defined using the propeller’s rim velocity Vprop,velocity,propeller’s rim velocity,1,7,1
Dvortex,These vortices have a characteristic size Dvortex and they appear simultaneously to the,size,characteristic size,1,13,1
g,B (playing the role of the turbulence rate) and g controls the relative depth of the potential wells,depth,relative depth of the potential wells,2,18,4
Δη,Δη is the width of the,width,width,1,6,3
ν,The magnitude of the variance ν is determined both by statistical and,variance,variance,1,12,1
ρ,The quantity ρ the percolation density parameter can be used to,density,percolation density parameter,1,11,3
N,where N is the number of charged pairs,number,number of charged pairs,1,8,3
CH,The sensible heat is calculated as where CH is the sensible heat transfer coefficient and Ta(t),coefficient,sensible heat transfer coefficient,1,16,6
Ti,the environmental interface soil heat capacity per unit area Ti is the environmental interface temperature (EI),temperature,environmental interface temperature,1,16,5
λL,Here we define the Lyapunov exponent λL for the case of Eq,exponent,Lyapunov exponent,1,12,1
β,logistic difference equation Γn where β is a constant,constant,constant,1,9,3
E,environmental interface temperature t is the time H and E are the sensible and the latent heat respectively,heat,latent heat,3,18,7
CD,underlying soil material is calculated as where CD is the heat conduction coefficient,coefficient,heat conduction coefficient,1,13,5
h,The three parameters (i) vertical pillar height h (ii) lateral pillar side l and (iii) spacing,height,vertical pillar height,2,16,1
V,The impact velocity was kept at V,velocity,impact velocity,1,7,4
M,limiting magnitudes correspond to the absolute UV magnitudes of M,magnitude,absolute UV magnitude,1,10,8
fλ,mag which correspond to the flux densities of fλ,densities,flux densities,1,9,2
τ,where τ is the collapse timescale,timescale,collapse timescale,1,6,4
ν,rate (SFR) is parametrized as ψ(rt) where ν is the starformation efficiency,efficiency,starformation efficiency,1,12,4
Zacc,The metallicity Zacc of the accreted gas is very low and,metallicity,metallicity,1,11,1
ϵ,first order line the divergence scales with the exponent ϵ,exponent,exponent,1,10,1
γq,of the baryon number susceptibility scales with an exponent γq,exponent,exponent,1,10,1
q,Here q is the quark field with three,field,quark field,1,8,4
Λ,constants gSgD in the Lagrangian the cutoff parameter Λ which regularizes the divergent integrals and the current,parameter,cutoff parameter,1,17,1
ϵ,express the condition ϵH in terms of the ratio ϵ of kinetic energy density to potential energy density,ratio,ratio,1,18,1
α,the number of derivatives one may introduce a parameter α which counts derivatives by replacing,parameter,parameter,1,15,1
γ,the time derivative of the inflaton via a factor γ which is unity at small velocity and grows,factor,factor,1,18,1
ϵV,the wellknown conditions of the potential slow roll parameters ϵV and ηV,parameter,potential slow roll parameter,2,12,1
V,level in two objects: the usual potential energy density V and another function of the inflaton field denoted,density,potential energy density,1,18,1
MP,where MP is the reduced Planck mass,mass,reduced Planck mass,1,7,5
x,where t is time x is the position parallel to the slit axis,position,position parallel to the slit,2,13,3
S,solved for the background corrected measured source flux density S at each nod position,density,source flux density,1,14,1
θ˙,offsets mx and my are the linear drift terms θ˙ is the angular velocity,velocity,angular velocity,3,14,4
ζ,where F is the true flux density ζ is the pointinginduced fractional flux density,density,pointinginduced fractional flux density,2,14,1
F,where F is the true flux density,density,true flux density,1,7,5
y,flux density (ζ for no pointing error) and y is the angular error with respect to the,error,angular error,1,17,4
xo,the slit axis (the spectral dimension of the array) xo and yo are initial offsets mx and my,offset,initial offset,2,18,5
yo,axis (the spectral dimension of the array) xo and yo are initial offsets mx,offset,initial offset,2,14,3
Q,this analogue reads consider first the assumed smallest period Q,period,period,1,10,1
spc,Under the assumption that the precognitive time scale spc is fixed we find that for small periods,scale,precognitive time scale,1,17,1
κ,that for small periods of fluctuations tc the parameter κ is very large,parameter,parameter,2,13,1
f^,where f^ and f are the vectors whose elements are,vector,vector,2,10,5
⟨t⟩,is approximately J the average arrival time is ⟨t⟩ and,time,average arrival time,1,10,2
i,where the indices i and n label respectively the,index,index,2,9,1
η,rate at which information is extracted about X and η is the measurement efficiency,efficiency,measurement efficiency,1,14,4
|ψ⟩,the transmission protocol the sender encodes a qubit state |ψ⟩ in the two end,state,qubit state,1,14,1
k,Here ρ is the density matrix of the system k is a constant often called the,constant,constant,2,16,3
dW,driven by the random Gaussian increment of Wiener noise dW which satisfies the Ito calculus relation,noise,Wiener noise,1,16,1
J,the strength of which is given by B and J is the strength of the coupling between the,strength,strength of the coupling,2,18,8
t,write the state of the dual chain at time t as,time,time,1,11,1
N,that the effective size of the Hilbert space is N where N is the length of each chain,length,length of each chain,1,18,5
ϵ,corresponding to a thin outer layer of relative conductance ϵ,conductance,relative conductance,1,10,1
ro,Length has been scaled by the outer sphere’s radius ro time by the viscous diffusive timescale,radius,outer sphere’s radius,1,16,1
ν,where μ is the permeability ρ the density ν the kinematic viscosity and η the magnetic diffusivity,viscosity,kinematic viscosity,4,17,3
RdAu,The nuclear modification factor RdAu at forward rapidities shows a clear suppression for,factor,nuclear modification factor,1,13,1
h,is comparable to that for negative hadrons h where negative pions are the main contribution,hadrons,negative hadrons,1,15,1
d,For a fixed positive integer d with,integer,fixed positive integer,1,7,1
p,Let p be a fixed odd prime,prime,fixed odd prime,1,7,5
Zm,Zm is the total number of states at fixed,number,total number of states,1,9,4
ei,e1 and e2 are the spinexcesses of each cluster ei,cluster,cluster,3,10,1
m,Consider two subsystems with total energy m of the form,energy,total energy,1,10,1
