var,context,def
"F","where F is a coefficient of the order of the","coefficient"
"G","where G is a coefficient of the order of unity","coefficient"
"λ","fluctuation dies off with a length scale λ called the screening length which is of the","scale"
"s","is the resistivity of the junction for spin s","spin"
"ρ","Here ρ are the total (including both spins) current and","current"
"∇μs","expressed as a gradient of the chemical potential ∇μs through the density of","potential"
"Γ","For an inverse lifetime Γ our result is in very good","lifetime"
"M","Finally the magnetization density M relaxes with a length scale of","density"
"τ","magnitude of our result depends on the scattering time τ","time"
"σxy","of this we first calculate the Hall conductivity σxy of Al in a","conductivity"
"W","The base width is W the voltage between emitter and base is","width"
"IB","The base current is IB","current"
"E","choose V so that when the initial energy E is equal to V","energy"
"ϵC","where we have indicated the error term as ϵC","term"
"H","The Hadmard Gate H denote the transform","Gate"
"d","about the ground state in finite systems of size d with periodic boundary conditions","size"
"θ","holders is distributed in a parameter θ that characterizes their propensity","parameter"
"z","introduce the dimensionless coordinate spacetime variable z where P is the momentum of","variable"
"ΛM","where ΛM is a cutoff parameter for pions and t","parameter"
"y","The light cone distance is y","distance"
"Z","Here Z is a wave-function renormalization constant","constant"
"𝐪","energy as a Fourier expansion on wave vectors 𝐪","vectors"
"v","The sound velocity v is thus directly related to the","velocity"
"f","where f the surface energy of the reference plane is","energy"
"T","defined below a certain critical temperature T when the interaction","temperature"
"c","conformal field theory the central charge c is unity since the system","charge"
"p","The step density p varies between and","density"
"EK","two parameters the kink creation energy EK and the interaction amplitude A","energy"
"T","total length of the transit which is the time T between the first and the last","time"
"δApl","cross section of the star and δApl is the differential cross section of the planet","section"
"M","stellar mass is the Tc M is the planetary radius which is the radius of","radius"
"λc","one generates a Cabibbo angle λc given by the relationship","angle"
"H~","H~ denotes a combination of loop integrals analogous to","combination"
"μ","As usual Mg~ denotes the gluino mass μ is the parameter for the Higgs","parameter"
"α","The parameters α ϕ and σ depend on the density ρ","parameters"
"ϕ","where ϕ is the potential energy per particle of the","energy"
"ρ","which display for all densities ρ the crossover to non-Arrhenius behavior","density"
"t","which describes the probability of finding at time t a particle at distance r","time"
"fbasin","Knowledge of the basin free energy fbasin is then sufficient to invert the","energy"
"ϕeff","where the mean IS energy ϕeff","energy"
"B","symmetric under reversal of the magnetic field B while the theory predicts no symmetry","field"
"Vrect","The dc component Vrect of the voltage is found by averaging over","component"
"τ","the voltage is found by averaging over one period τ","period"
"L","with L the effective length of the crystal","length"
"Δt","this system up to t with time step Δt and softening parameter ϵ","step"
"K","express the expansion Φ(𝒓) up to the pth order K pseudoparticles must give the same","pseudoparticles"
"𝑹j","The mass Mj and the position 𝑹j of pseudoparticles must be determined","position"
"𝒓i","where mi and 𝒓i are the masses and positions of","positions"
"p","give the same Φ up to a given order p","order"
"ϵ","with time step Δt and softening parameter ϵ","parameter"
"𝐤","|Δ(𝐤)|+|Δ(𝐤+𝐪)| where both momenta 𝐤 and 𝐤 + 𝐪 are at the Fermi","momentum"
"γ𝐪","The prefactor γ𝐪 is obtained by calculating the imaginary","prefactor"
"𝐐","velocity clearly away from the AF wave vector 𝐐","vector"
"𝐪","near the antiferromagnetic (AF) wave vector 𝐪 and energy","vector"
"Δ𝐪","Here Δ𝐪 is the fermion gap at one of the","gap"
"N","For a N atoms particle (radius R ≃ Å) they","atoms"
"R","For a N atoms particle (radius R ≃ Å) they found compared to bulk values","radius"
"HB","spheres SA SB in two Hilbert spaces HA and HB","space"
"Φ","By physical arguments Φ should be continuous","arguments"
"S","The ball surface S","surface"
"Δφ","the full magnetic flux Δφ increases so that the","flux"
"λ","the other parameters and the eigenvalue λ as well are given","eigenvalue"
"x","is characterized by its respective position x and width μ so the amplitude jD","position"
"μ","its respective position x and width μ so the amplitude jD","width"
"hB","where γ is the bias current and hB is the external (boundary) magnetic field","field"
"λmin","is determined by the sign of the minimal eigenvalue λmin of the corresponding Sturm","eigenvalue"
"γ","where γ is the bias current and hB is the","current"
"F","Let us introduce the full energy F connected with some solution φ(x)","energy"
"jD","position x and width μ so the amplitude jD","amplitude"
"h","plot the pressure profile σz(x) for a given depth h of sand","depth"
"W","half amplitude width W of the response function as a function","width"
"A","of mass M with a surface A","surface"
"d","there granular media with different size d and shape","size"
"Wo","measured the intrinsic experimental width Wo and we found the convolution effects",width"
"P","checked that locally the hydrostatic pressure relation P is well recovered","pressure"
"e","of a thin metallic membrane of thickness e welded on a cylinder","thickness"
"w","studied the width at half amplitude w increases linearly when increasing the depth","width"
"M","achieved by a piston P of mass M with a surface A","mass"
"ΔHm","pressure and temperature ΔHm is the molar enthalpy of vaporization","temperature"
"Fm","where the molar free energy Fm at constant T is plotted versus","energy"
"p","where p and T are the pressure and temperature","pressure"
"ρ","Denoting by ρ the invariant at all transformations of the G","invariant"
"η","with η being the quantitative measure of the deviation","measure"
"n","Here n is the index of the irreducible representation","index"
"M","book the absence of the M odd powers in the ferromagnet’s thermodynamic","powers"
"m","observe that certain types of m dependence of F would provide a solution","dependence"
"AC","coordinate of A at some distance AC and a second identical wave packet","distance"
"ℏ","of Planck’s introduction of his (reduced) constant ℏ renders somewhat more","constant"
"Lp","length scale now called Planck length Lp by combining ℏ with the","length"
"τ","of the first wave packet and τ is the time interval corresponding to each","interval"
"p","the positive direction of the z axis with momentum p","momentum"
"ξ","where ξ is the familiar rapidity parameter of boosts","parameter"
"m","the intrinsic magnitude m","magnitude"
"v→","determine source velocity on the source plane v→ time when the source","plane"
"H","mass of lens object (Mlens) and the Hubble constant H","constant"
"re","closer than a given distance re can be calculated as","distance"
"Rh","Combined with a half mass radius Rh this gives a","radius"
"Tc","radius Rh this gives a crossing time Tc","time"
"t","calculate the implied variation with time t (at a fixed distance from the ionising star)","time"
"rd","where rd is the disk radius in AU","radius"
"M*","where M* is the stellar mass and cs is","mass"
"Z","where Z is the atomic number and x∼","number"
"N","This test takes groups of the N nearest neighbors to each galaxy","neighbors"
"Ω","cluster and the cosmological mass density Ω ","density"
"K","the dimensionless superfluid density K and the renormalized","density"
"Ec","where Ec is the potential energy associated with the core","energy"
"q","that we have used the unrenormalized charge q instead of qr to","charge"
"r′","is a distance r′ from the center of","distance"
"R","flat superconducting disc of radius R and thickness","radius"
"U","The interaction energy U of the VIA pair depends logarithmically","energy"
"Rl","The scaled radius Rl of the disc satisfies","radius"
"S","The quantity S that appears above satisfies the","quantity"
"m","the survival probability of m random walks is","walks"
"N","where N is the number of beads in the chain","number"
"Γ","the frequency ν and the dimensionless acceleration Γ","acceleration"
"ν","angular velocity ω and frequency ν the driving conditions are characterized by the","frequency"
"D","independent random walks with identical diffusivity D the problem is","diffusivity"
"z","granular materials given the plate height z","height"
"t","plate at time is still alive at time t","time"
"ω","height z with amplitude A angular velocity ω and frequency ν","velocity"
"τ","that the average unknotting time τ is consistent with a diffusive behavior","time"
"ϕ","where ϕ is the tachyon","tachyon"
"L","that the propagator is of length L the amplitude will not be suppressed","length"
"χ","for a generic open string scalar field χ","field"
"F","field with slowly varying field strength F is as proposed in","strength"
"θ","gαβγ(θ) gives the angular distribution for the angle θ between two bonds βα and","angle"
"λ","f(ω) is the formfactor λ is the coupling parameter and the vacuum energy","formfactor"
"tep","exponentially up to the time tep when the longtail asymptotics substitutes","time"
"tZ","term we shall define the Zeno time tZ as corresponding to the region","time"
"tb","calculate the parameters ta and tb we need to calculate the","parameter"
"ta","to calculate the parameters ta and tb we need to calculate","parameter"
"T","all for lager observation time T the AZ region is wider and","time"
"H","The Hamiltonian H has continuous spectrum of uniform multiplicity and","Hamiltonian"
"z","where the function η(z) of the complex argument z is","argument"
"ε","would not be less than p(T) with accuracy ε","accuracy"
"t","probability p(t) to find after time t the bare atom evolving according","time"
"ω","operators of the photon with frequency ω f(ω) is the formfactor λ is the","frequency"
"zk","Here zk are the roots of ηΛ(z) on the second","roots"
"cj","determines the signs positive or negative of the integers cj","integers"
"θ′","mass term has a chiral phase θ′ which comes from symmetry breaking in","phase"
"θ","topological term with the QCD vacuum angle θ which violates CP and","angle"
"ωα","method one first calculates the eigenvalues ωα of the vibrational equation and","eigenvalues"
"ωpeak","glasses for example the boson peak frequency ωpeak was reported","frequency"
"T","versus temperature T for several values of","temperature"
"sα","then determines the eigenvalue spacings sα","spacings"
"TU","quantum field as a thermal bath with temperature TU","temperature"
"n","with m and n being integer numbers","number"
"G","where G is an arbitrary function of u and u","function"
"π","The canonical momentum π conjugated to u is given by","momentum"
"A","The area form A is invariant under a diffeomorphism Φ","form"
"𝒏","interested in the boundary condition 𝒏 at spatial infinity","condition"
"JGμ","The conservation of the currents JGμ is a consequence of the","currents"
"Hμν","where the tensor Hμν is defined in terms of the three component","tensor"
"F","where F is an arbitrary function of the coordinates u","function"
"t","Hubbard-type model with the interlayer hopping t and the onsite repulsion U","hopping"
"U","hopping t and the onsite repulsion U","repulsion"
"q","Here we use dimensionless values q","values"
"rc","and rc is the correlation radius.","radius"
"ν","where this field crosses some threshold ν","threshold"
"Δ","the probability Δ to find such a point between","probability"
"q","H – the Hubble parameter; and q – the deceleration parameter","parameter"
"H","is the velocity of light; H – the Hubble parameter; and q – the","parameter"
"R","cases we used the same neighborhood radius R as in the case of","radius"
"b","where b is a parameter quantifying the conical defect","parameter"
"J","vanishes and the charge density J is given by","density"
"A","just one equation for the component A which is given by","component"
"E","The quantity E is the energy of the black hole","quantity"
"eQ","quasiparticles carry a net positive charge eQ given by","charge"
"ν","and the shift in chemical potential ν are function","potential"
"HB","Suppose we have another Hamiltonian HB whose ground state","Hamiltonian"
"k","This algorithm finds cliques of a particular size k","size"
"Gij","The matrix element Gij is if vertices i and j are connected","element"
"ℰ","problems of interest ℰ will scale polynomially with","interest"
"pmin","Indeed we find minimum probabilities pmin and pmin","probability"
"Sπ","protons which is associated with the spin Sπ","spin"
"𝒯","subsequent transmission factor 𝒯 is to be multiplied into the","factor"
"γ","correction by the Fano factor γ which if less than unity suppresses","factor"
"ν","The filling factor ν quantifies the state of the system","factor"
"D","as well as an energy gap D where l","gap"
"g","formula by a factor g that multiplies the righthand expression","factor"
"I","has to renormalize the current I the operative voltage V","current"
"G","The conductance G in this case is understood in","conductance"
"IB","to be proportional to the backscattered current IB","current"
"ξ","fluctuation correlation length ξ and staggered susceptibility χs as","length"
"d","the exact Onsager solution for dimension d","dimension"
"T","as the temperature T approaches the transition temperature Tc","temperature"
"χs","correlation length ξ and staggered susceptibility χs as a function of temperature","susceptibility"
"ϕRF","specific heat exponent and ϕRF is the RFIM crossover exponent","exponent"
"Te","measure of the gas Te is the electron temperature assumed to","temperature"
"TS","where TS is the electron spin temperature f is the","temperature"
"τν","index of the core and τν is the frequency dependent optical","frequency"
"EM","where EM is the emission measure of the gas","measure"
"Pk","where Pk is a given function of k","function"
"eJ","the bifurcation point at eccentricity eJ past which the Maclaurin spheroids","eccentricity"
"rg","relativity the gravitational radius rg is a natural unit","radius"
"ρ","as expected close to the density ρ at zero pressure of quark matter","density"
"ωc","and the corresponding characteristic frequency is ωc","frequency"
"f","computations of the maximum orbital frequencies f in stable circular orbits","frequencies"
"R","where R is the radius of the nonrotating star of","radius"
"p","equation of state p","state"
"e","Maclaurin spheroids goes to zero in the limit e","limit"
"r","the corresponding circular orbits (of radius r) are stable only","radius"
"m","degree M with the zero z of multiplicity m","multiplicity"
"pj","j above let us introduce the auxiliary functions pj and qj","function"
"g","dimension for the functions g+ and g","function"
"α","part often characterised by a parameter α while the wings","parameter"
"N","In this model there are N interacting stocks i","stocks"
"β","speculators choose a pair of stocks α and β from say the excess demand stocks","stock"
"ϕ","Near orbital phase ϕ many Xray binaries show preeclipse","phase"
"ν","chosen randomly but for the frequency ν we step through a range","range"
"κB","Here κB (κR) is the scattering coefficient in","coefficient"
"M˙","This mass accretion rate M˙ was computed by removing mass","rate"
"τB","Top panel: optical depths τB","depths"
"τE","for the radial optical depth τE","depth"
"vmax","the maximum observed velocity is vmax","velocity"
"A","is the mean jet speed A is the velocity amplitude and P","amplitude"
"η","between the jet and the ambient medium η","medium"
"P","mean jet speed A is the velocity amplitude and P the period of the oscillation","amplitude"
"Tc","where Tc is the BEC phase","phase"
"D","the dispersion D for surrounding medium without","dispersion"
"η","here a radius of the sphere η = Qcav→ coordinate of","sphere"
"y","For dimensionless variables y","variables"
"<v>","or for statistical average value <v> of v","value"
"p","x and a total momentum p both arbitrarily close to zero","momentum"
"x","two particles with a relative position x and a total momentum p","position"
"k","Oblique rolls with the same wavenumber k but at θ","wavenumber"
"Vc","of the applied voltage Vc there is a transition to a state that","voltage"
"𝐕","The rotation vector 𝐕 in the particle sector is","vector"
"Tres","growth of L at the resonance temperature Tres","temperature"
"L","the lepton asymmetry L has been shown to evolve into","asymmetry"
"P","particular that the difference P is not affected by collisions","difference"
"D¯","should not be confused with damping coefficients D and D¯","coefficient"
"H","The Hamiltonian H of the system (we have dropped an irrelevant","Hamiltonian"
"νs","invoke new sterile neutrino states νs mixing with ordinary","states"
"VL","asymmetry L in the potential VL is given by","potential"
"N","produce M clones from N original replicas of a coherent","replicas"
"M","attempts to produce M clones from N original replicas of","clones"
"k","operators associated with each mode k involved in the","mode"
"δ","are combined in a vector δ the driving terms are combined","vector"
"c¯","The number c¯ is the heat capacity of the plasma","capacity"
"ΔVT","potential values at the transition temperature ΔVT which is basically","temperature"
"E","with the population density fi and energy E","energy"
"δi","have generally space dependent perturbations δi from equilibrium","perturbations"
"F","driving terms are combined in the vector F","vector"
"r","The mass ratios r and","ratio"
"E","the former quantum energy E and the potential v(x) become respectively","energy"
"ϵi","replaces the ordinary potential and ϵi are threshold energies that can","energies"
"δ","The Doppler factor is defined as δ","factor"
"Γ","of the speed of light Γ is Lorentz factor","factor"
"αrx","of the radio to Xray effective spectral index αrx to test the unified scheme","index"
"θ","and θ is the angle to the line of sight","angle"
"α","where α is the possibility that the electron is scattered","possibility"
"N","a system with N dephasing scatters there are","scatters"
"qi","barriers with random height qi which has the distribution","height"
"t","where t and r are the transmission and reflection amplitudes","amplitudes"
"X","where X is the transfer matrix describing the propagation of","matrix"
"m","order DFA trends of order m in the profile","order"
"τi","obtained from recordings of interbeat intervals τi","intervals"
"α~","is related to the mean fluctuation function exponent α~ by","exponent"
"β","Then the exponent β in the scaling law","exponent"
"n","Since the length n of the series is often not a multiple","length"
"α","the selection of the angle α between the normal","angle"
"η","between the track position and the variable η","variables"
"G","value of the standard gluon condensate G through the relation","condensate"
"G¯","Since the gluon condensate G¯ is always positive and finite","condensate"
"n","and n is the instanton number density in the chiral","density"
"ξ","how to fix the numerical value of the coefficient ξ","coefficient"
"Aφ","In this basis Aφ","basis"
"n","of H(Γ) consisting of n elements and two partitions of","elements"
"ψ","Note that the automorphism ψ generates a cyclic subgroup","automorphism"
"Γ′","Consider the graph Γ′","graph"
"α","in a wedge with a small angle α using a variational approach","angle"
"λ","over distances of the order of the penetration depth λ of the magnetic field","depth"
"b","normal to the boundary a and b are the GL parameters","parameters"
"L","for different orbital quantum numbers L","numbers"
"Rcell","The resistance of each cell Rcell is equal to zero if the cell is","resistance"
"A","of a local value of the vector potential A obtained from","potential"
"𝐇","and the vector potential 𝐀 of a magnetic field 𝐇 are","field"
"Φ","where Φ is a flux quantum","quantum"
"R","any appreciable changes of the curve R)","curve"
"Hc","order of magnitude higher than the second critical field Hc","field"
"κ","Here κ is the GL parameter defined as a ratio","parameter"
"H","where H is the applied magnetic field","field"
"D","The diameters of the disks are: D","diameter"
"z","The point z is chosen in the plane where the","point"
"y","and y will denote the scaled order parameter vector potential","potential"
"Fn","where Fn is the free energy per unit volume of","energy"
"vf","where vf is a model parameter","parameter"
"η","and vary the fraction η of the flow energy η","energy"
"E","simulations we fix the total energy E and vary","energy"
"t","where r→ and t are spacetime coordinates and t′ is the present","coordinates"
"rc","hardsphere elastic scatterings at the impact parameter rc with conservation of energy","parameter"
"c","be in units of the velocity of light c but the velocity","velocity"
"δt","The time delay is δt where t is","delay"
"δθ","stars at an angular distance δθ from the line of","distance"
"j","The outputs j then depend on the inputs i through a","outputs"
"s","where the scattering parameter s with θ equal to","parameter"
"k","where k is the channel index","channel"
"M","nonrelativistic transition matrix element M includes the effect of","element"
"ϵ","The delocalization parameter ϵ is determined by the sixquark","parameter"
"Tij","Here Tij ∝∂i/∂jϕ is the shear of the gravitational","shear"
"R","it at some radius R one only needs to know","radius"
"r","average is over pairs with separation r for which the separation vectorn","separation"
"∇","from the shear tensor by applying the ∇ operator","operator"
"θ","fall off as θ where θ is the angular separation","separation"
"r","in circular orbit located at a distance r from the Earth","distance"
"A~(f)","Here A~(f) denotes the Fourier transform of A(t) and A~*(f) is the complex","transform"
"M","and M are the total mass","mass"
"v","Newtonian expansions in the invariant velocity v by the following","velocity"
"t^","expression in terms of the reduced time t^","time"
"𝒪","achievable by a given approximant 𝒪 is given by","approximant"
"F","where Fi is the flux and F is base line flux","flux"
"C","before we can set the C constant we need to ensure that Δfi and","constant"
"ψ","The complete wave function is ψ where α and β are spinor","function"
"h","sufficient for implementing broadcast with h compliant and f faulty","compliant"
"f","implementing broadcast with h compliant and f faulty parties using","parties"
"ζ","and dimensionless stiffness parameters ζ","parameters"
"e","The deviatoric strain e is the primary order","strain"
"T","lower symmetry with decreasing temperature T","temperature"
"ℱ","possible form for the energy density ℱ to include only those terms","density"
"t","ζ all at time t after identical nucleation events","time"
"τ","also we define the dimensionless temperature τ","temperature"
"r","For the bar that ends near the corotation r","corotation"
"κ","is the unperturbed density κ","density"
"ΔF","since the phase change ΔF is twice as much as the","change"
"χ","the real component of the susceptibility χ","susceptibility"
"L","L and C are constants which are defined by","constants"
"χ","The frequency-dependent complex susceptibilities χ","susceptibilities"
"ωr","losses while the resonance frequency ωr depends on the real component of","frequency"
"C","L and C are constants which are defined by the thinfilm","constant"
"α","Consider a density jump by a factor α over a distance l","factor"
"tdec","to be terminated at a time tdec when the sweptup mass of","time"
"Γ","where Γ is the bulk Lorentz factor of the shock","factor"
"A","we found that the constant A in the density profile is","constant"
"Fνm","and the flux at this frequency is Fνm","flux"
"e","number density n and the energy density e in the different shocked","density"
"r","significant deviations from an r density gradient as a result","density"
"Fν","a powerlaw distribution p the flux above νm is Fν","flux"
"rshell","density shell which is at rest at a radius rshell","radius"
"Pi","where Pi is the internal pressure of the compressed region","pressure"
"tday","Here tday is the observer time measured in days","time"
"ν","Here ν is the frequency of a radial","frequency"
"δν","where δν is the socalled small frequency","frequency"
"l","Here n and l are integers which define the radial order and","integer"
"r","the link by introducing radial distance r in each of the adjacent","distance"
"F","measurement aperture the observed frame F and","frame"
"⟨η⟩γ˙","the average viscosity ⟨η⟩γ˙ diverges if η diverges whatever","viscosity"
"E","where E characterizes the activation barrier limiting the yield of","barrier"
"T","effective temperature that we will denote here as T","temperature"
"ηm","formula for a matrix of viscosity ηm with various kind of dilute","viscosity"
"l","effect for threedimensional systems of linear sizes l","sizes"
"Φpext","total magnetic flux threading through the pth plaquette whereas Φpext is the flux due to an external magnetic","flux"
"Φp","Φp is the total magnetic flux threading through the","flux"
"tw","time but also on the waiting time tw","time"
"h","The dimensionless field h and inductance L~ are defined as follows","field"
"L~","The dimensionless field h and inductance L~ are defined as follows","inductance"
"M","along the zaxis normalized per plaquette M is","plaquette"
"α","Changes δα of the spectral slope α appear correlated with","slope"
"Lν","The brems-strahlung luminosity Lν","luminosity"
"logν¯","slope α to the intermediate frequency logν¯","frequency"
"b","determine the slope b of the above relation the","slope"
"MJ","Lines of constant luminosity MJ are drawn","luminosity"
"β","where β q and ν are the critical exponents of","exponent"
"t","where t is the exponent of conductivity (the best estimate","exponent"
"q","where β q and ν are the critical exponents of P∞","exponent"
"ν","where β q and ν are the critical exponents of P∞ Q∞ and","exponent"
"L","square lattice having L sites horizontally and L","sites"
"d","are exactly known for the dimension d","dimension"
"p","be with an independent probability p or with","probability"
"Q∞","we define Q∞ the ratio of the sites","ratio"
"P∞","The order parameter of percolation is P∞ the ratio of","parameter"
"f𝑚𝑎𝑥","where f𝑚𝑎𝑥 and f𝑚𝑖𝑛 are the maximum and minimum flux","flux"
"i","rotation velocity Vrot inclination i position angle Γ and kinematic","inclination"
"Γ","inclination i position angle Γ and kinematic center","angle"
"Vsys","allowing the systematic velocity Vsys the rotation velocity Vrot","velocity"
"D","The self diffusion constant D is expressed in terms of transitions","constant"
"d","by calculating the distribution g(d) of distances d","distances"
"Tc","critical temperature Tc the system is believed","temperature"
"X","The cooling rate is X ","rate"
"S","element does not change its internal variables S","variables"
"g→","static fluid in a gravitational field g→ can be obtained","field"
"N","restoring forces (gravity waves) and characteristic frequency N","frequency"
"ρ","and the mass density ρ in the equilibrium configuration","density"
"α","where α is the Shakura-Sunyaev viscosity parameter","parameter"
"z","where z is the center of mass of the forming","center"
"m","forming drop and m is its mass","drop"
"Q","For sufficiently slow flow rates Q without any periodic perturbation","rates"
"v","under a constant flow velocity v","velocity"
"N","For a specified value of the integer N the P1 orbits","integer"
"η","The viscosity was η (for the water) in units of","viscosity"
"z","lost when the position z reaches a critical point zcrit","position"
"A~","the critical value A~ the chaotic attractor disappears","value"
"γ","The damping parameter γ was chosen as","parameter"
"λ","speed of light with wavelength λ much larger than Lp","wavelength"
"Ethreshold","(or equal to) the threshold energy Ethreshold where ϵ","energy"
"α","Different values of the exponent α for this tail","exponent"
"ξn","of the velocity derivative ξn can be written","derivative"
"L","number Re where V and L are characteristic velocity and length","velocity"
"𝒫","of the exponent α for this tail 𝒫 ∝|ξ|α were proposed in","tail"
"ℒ","assume that the system size ℒ is much larger","size"
"f","coefficient and f represents an external influence pumping","pumping"
"Re","a large value of the Reynolds number Re","number"
"u′′","points with zero second derivative u′′","derivative"
"ξ","𝒫(ξ) of the velocity derivative ξ","derivative"
"ϵij","At Tf a small increase in interaction energy ϵij between amino","energy"
"χij","We define the entropic susceptibility χij of a contact between","susceptibility"
"Uij","where Uij is the energy of a single pair","energy"
"Frad","of radiation pressure force Frad to gravitational","force"
"𝐯","the dust particle velocity 𝐯 has to be determined from","velocity"
"𝐮D","The relative velocity 𝐮D between a dust particle","velocity"
"v","strongly depends on the impact speed v","speed"
"QI","proportional to the positive charge component QI of the plasma produced","component"
"ω","frequency (ω) with side frequencies or modulation products","side"
"mt","The detector mass threshold mt is proportional to the positive charge component QI","threshold"
"R","where R is an arbitrary radial distance and the prime","distance"
"r","where u and v are the zeroenergy solutions and r the effective range for","range"
"x","at position x satisfies the Schrödinger","position"
"k","the energy and k the wave number","number"
"D","a plot is the fractal dimension D (Mandelbrot 1983) provided there is","dimension"
"S","function for the number n of clusters versus scale S is","scale"
"n","function for the number n of clusters versus scale S is","number"
"M","for cloud mass M radius R core pressure P and mear","mass"
"t","the timescale of flux density variations t we have estimated this parameter","variations"
"Ri","The reflection operation Ri that goes along","operation"
"P","for cloud mass M radius R core pressure P and","pressure"
"Fi","algorithm let Fi be the singleletter search function which","function"
"n","has a letters a string of n letters can label N","letters"
"G","The vector 𝐆 is the specific angular momentum G is its","momentum"
"Θ","where Θ is the component of the angular momentum along","component"
"𝐆","The vector 𝐆 is the specific angular momentum","vector"
"m","where m stands for the bare mass","mass"
"ϵ","where ϵ is the bare energy and Σ the Dyson","energy"
"d","shaped liquid samples of density d","density"
"dm","where σo and dm are the electrical conductivity and density at the","density"
"Ea","existence of an activation energy Ea (mobility gap)","energy"
"ne","we compute the effective electronic density ne","density"
"σo","where σo and dm are the electrical conductivity and density","conductivity"
"n","between the centers of number density n that produce charge carriers becomes","density"
"ϵ","the divergence of the dielectric susceptibility ϵ also known as the","susceptibility"
"𝓗","Suppose now that 𝓗 is a pre-Hilbert space over 𝖢[[λ]]","space"
"X","is a classical oscillator X interacting with a purely quantum mechanical","oscillator"
"L","Here L is the integral scale and τ","scale"
"A","depends on both the forcing strength A and the","strength"
"un","moments of the velocity un itself which within the GOY","velocity"
"Eee","The electron equivalent energy Eee which is actually measured is a fixed fraction","energy"
"rNa","where rNa and rI are the mass fractions","fraction"
"v","thermalized background distribution is a Maxwellian with velocity dispersion v","dispersion"
"ρ","The total density is ρ","density"
"vmin","where vmin is the minimum detectable WIMP velocity","velocity"
"mχ","WIMP mass and mχ is the atomic mass of the target","mass"
"ρχ","normalise the local WIMP density ρχ to a","density"
"ρj","where ρj and 𝐯j are the density and velocity of","density"
"v","where v is the speed of the sun with","speed"
"qI","The quenching factors for I and Na are qI and qNa respectively","factor"
"vcirc","where vcirc is the local circular velocity","velocity"
"ξ","such that ξ is the energy","energy"
"p→","Here M mass of particle p→ where ∇→","particle"
"aH","can introduce corresponding magnetic length aH","length"
"ωc","and cyclotron frequency ωc","frequency"
"ν","for the arbitrary anyonic factor ν and number","factor"
"ρ","the average density ρ of particles in the system","density"
"δ","where cutoff parameter δ regularize the integral","parameter"
"μ¯","where μ¯ is the chemical potential for baryon number and","potential"
"m1","of quarks 1 and 2 assume they have masses m1 and m2","mass"
"Ω","the free energy density Ω with respect to","density"
"ν","For noninteracting quarks with Fermi momenta ν and ν'","momentum"
"δℒ","consider the effect of a perturbation δℒ that splits up and down","perturbation"
"k","Given a dividing line k","line"
"m","or alternatively by some mass scale m with","scale"
"Q","function of the photon virtualities Q and Q' and their longitudinal","virtuality"
"V","couplings to the lowestlying vector mesons V and J","meson"
"α","masses of the bodies and α is the scale factor","factor"
"Δh","The enthalpy change Δh is","change"
"Ntot","where Ntot is the total number density of particles","density"
"κ","introduce an amplification factor κ to evaluate","factor"
"H","at sea level h is the airburst height and H is the scale height","height"
"γ","ρ is the density in the stagnation point and γ is the specific heats ratio","ratio"
"Ro","where Ro is a shunt resistance Co is the capacitance","resistance"
"z","where ν and z are the correlation length and dynamical","length"
"I","function of the driving current I (current density J) averaging","current"
"τ","and relaxation time τ ∝ξz where ν and z are the","time"
"ρL","with a linear resistivity ρL which is finite above","resistivity"
"ωo","is t where ωo is the observer’s angular coordinate speed","speed"
"ω","the coordinate angular velocity ω is fixed","velocity"
"Ω","The parameter Ω has been eliminated using the explicit expression for","parameter"
"h","and core radius h derived from the distribution of the","radius"
"T′","quantities at a different temperature T′ in the neighborhood","temperature"
"ℋ","note that the Hamiltonian ℋ is invariant under","Hamiltonian"
"Tc","the value of the transition temperature Tc in the thermodynamic limit","temperature"
"σi","axes of the rotors are specified by unit vectors σi","vectors"
"ϵ","over all nearest-neighbors and ϵ is a coupling parameter","parameter"
"v∞","wind reaching the terminal velocity v∞ well before the","velocity"
"C¯","with the constant of proportionality C¯ to be determined below.","constant"
"γej","nonrelativistic gas with adiabatic heat ratio γej","ratio"
"E","ejecta equal the total mechanical energy E of the SNR","energy"
"Ppwn","Therefore we can assume a nearly uniform pressure Ppwn in the PWN","pressure"
"n","where n is the proper density just in front","density"
"C","where C is a numerical constant of order unity","constant"
"v","The velocity v is determined by applying","velocity"
"ωi","coupling strength and the frequencies ωi are drawn from","frequencies"
"I","spaced in the interval I corresponding to a","interval"
"ω","For each frequency ω let p(θtω) denote the density of","frequency"
"γ","width is characterized by a parameter γ","parameter"
"VZn","with a strong attractive potential VZn","potential"
"V","the nearest neighbor attraction V which yields dwave superconductivity","attraction"
"Δij","Here Δij is the selfconsistent MF superconducting order","order"
"t","of finding the log-price x at time t","time"
"Φ","where Φ is a suitable memory kernel related","kernel"
"β","Mittag-Leffler function of order β","order"
"γ","Mittag-Leffler function and γ is a timescale factor depending","factor"
"f~","where f~ is the fraction of the free volume and","fraction"
"m","The fragility index m is also evaluated as a","index"
"C′","In case of a flatplate condenser C′","condenser"
"fT","Here ω and fT is the frequency of temperature modulation","frequency"
"fg","of free volume and fg is the free volume fraction at Tg","fraction"
"T","where C′(T) is the capacitance at temperature T and Ts is a standard temperature","temperature"
"S","the permittivity of the vacuum S is the area","vacuum"
"C′(T)","where C′(T) is the capacitance at temperature T","capacitance"
"Tg","the glass transition temperature Tg in thin films","temperature"
"αn′","Here αn′ and αn′′ are the real and imaginary parts","part"
